"src","des","times","failed","id_list"
"C13262","C457","1","0","161"
"C1968","C1085","8","0","162 786 1778 4367 4908 6327 6889 7431"
"C1183","C92","2","0","163 441"
"C1590","C457","3","0","164 3300 8075"
"C539","C988","6","0","165 2195 2360 2950 6216 8624"
"C2426","C612","6","0","166 755 2066 5277 6317 8140"
"C15498","C529","1","0","167"
"C19391","C529","2","0","168 4526"
"C10208","C492","6","0","169 1005 3315 3542 5486 7182"
"C13173","C612","1","0","170"
"C18771","C457","1","0","171"
"C610","C586","2","0","172 3493"
"C12283","C586","1","0","173"
"C15274","C612","1","0","174"
"C12598","C1015","1","0","175"
"C826","C586","2","0","177 425"
"C12539","C586","1","0","178"
"C10892","C586","2","0","179 6931"
"C10688","C2162","8","0","180 759 1628 6584 7247 8390 8403 8418"
"C10583","C801","1","0","181"
"C7955","C586","1","0","182"
"C13179","C586","1","0","183"
"C2193","C612","1","0","184"
"C19587","C529","1","0","185"
"C7952","C612","1","0","186"
"C796","C457","1","0","187"
"C27192","C528","1","0","188"
"C8766","C612","1","0","189"
"C62","C17725","1","0","190"
"C13450","C586","1","0","191"
"C18341","C529","1","0","192"
"C2057","C2106","2","0","193 1227"
"C21286","C528","1","0","195"
"C1798","C4927","1","0","196"
"C4378","C625","1","0","197"
"C495","C467","1","0","198"
"C18529","C1015","14","0","199 494 1119 1531 2001 2497 2952 4147 4788 5141 5408 5602 8221 8641"
"C14182","C1015","8","0","200 436 503 1064 4202 6266 6792 8381"
"C5172","C1065","1","0","201"
"C6863","C586","3","0","202 626 4175"
"C7141","C1065","2","0","203 6735"
"C7707","C2106","1","0","204"
"C11609","C529","1","0","205"
"C11817","C586","1","0","206"
"C12463","C612","1","0","207"
"C19580","C586","1","0","208"
"C4453","C467","1","0","209"
"C6789","C612","1","0","210"
"C9258","C612","2","0","211 4803"
"C1747","C467","1","0","212"
"C477","C2106","3","0","213 2630 5300"
"C14247","C586","1","0","214"
"C19306","C612","1","0","215"
"C965","C467","10","0","216 763 2445 2590 2779 2998 5255 6893 7396 8502"
"C6967","C528","1","0","217"
"C18420","C1046","2","0","219 8054"
"C11798","C1065","1","0","220"
"C18438","C467","1","0","221"
"C11092","C625","1","0","222"
"C14812","C1628","2","0","223 8802"
"C1115","C457","6","0","224 1125 5325 5690 6635 8758"
"C21085","C529","2","0","225 2391"
"C17723","C529","1","0","226"
"C17252","C625","1","0","227"
"C6175","C625","1","0","228"
"C745","C467","1","0","229"
"C4264","C529","1","0","230"
"C10254","C1065","1","0","231"
"C15982","C2651","1","0","232"
"C3258","C612","1","0","233"
"C19444","C395","1","0","234"
"C1456","C467","1","0","235"
"C18481","C743","1","0","236"
"C320","C457","1","0","237"
"C12562","C1015","1","0","238"
"C3644","C612","1","0","239"
"C8172","C1015","5","0","240 2202 3386 5115 8761"
"C1389","C528","1","0","241"
"C1619","C625","5","0","242 719 1036 2352 8427"
"C20781","C625","1","0","243"
"C1106","C467","1","0","244"
"C13502","C529","2","0","245 7921"
"C9621","C467","1","0","246"
"C10490","C1065","1","0","247"
"C12576","C529","1","0","248"
"C3745","C529","1","0","249"
"C997","C586","1","0","250"
"C1674","C612","1","0","251"
"C17590","C625","1","0","252"
"C6051","C612","1","0","253"
"C18678","C529","1","0","254"
"C14649","C585","1","0","255"
"C20898","C457","2","0","256 5403"
"C2395","C1065","1","0","257"
"C17372","C528","1","0","258"
"C3677","C529","1","0","259"
"C1618","C101","10","0","260 806 1219 2347 3273 5418 5843 6203 7589 7769"
"C13801","C586","1","0","261"
"C1183","C612","2","0","262 2262"
"C1939","C1065","2","0","263 2780"
"C11768","C586","1","0","264"
"C16996","C529","1","0","265"
"C1618","C553","10","0","266 1613 3233 3657 3775 5038 6454 6542 7192 8446"
"C1521","C528","2","0","267 8175"
"C787","C457","2","0","268 841"
"C9226","C625","1","0","269"
"C8023","C625","2","0","270 4002"
"C1619","C988","8","0","271 781 1001 2167 3192 5076 6376 8983"
"C9258","C586","2","0","272 6087"
"C15145","C1065","1","0","273"
"C8604","C625","2","0","274 8365"
"C1425","C2162","3","0","275 1256 7741"
"C4535","C467","1","0","276"
"C129","C2162","2","0","277 552"
"C628","C529","1","0","278"
"C1336","C528","1","0","279"
"C11571","C457","1","0","280"
"C1727","C1881","3","0","281 1077 3742"
"C2356","C586","3","0","282 432 653"
"C15160","C586","1","0","283"
"C414","C2106","1","0","284"
"C452","C612","1","0","285"
"C7314","C10","1","0","286"
"C10823","C1015","7","0","287 2935 5784 6433 8045 8097 8304"
"C13239","C467","1","0","288"
"C10709","C743","1","0","289"
"C14739","C529","1","0","290"
"C838","C586","1","0","291"
"C13769","C586","2","0","292 5982"
"C21205","C586","1","0","293"
"C6449","C2162","2","0","294 391"
"C10127","C625","2","0","295 8838"
"C1257","C625","1","0","296"
"C15990","C15622","1","0","297"
"C13103","C457","1","0","298"
"C6338","C585","1","0","299"
"C1537","C5618","5","0","300 620 1150 3676 8938"
"C20259","C586","1","0","301"
"C3501","C528","1","0","302"
"C7521","C528","1","0","303"
"C18759","C1065","1","0","305"
"C3897","C528","1","0","306"
"C3224","C1065","1","0","307"
"C14835","C467","1","0","308"
"C5547","C625","1","0","309"
"C2404","C1065","1","0","310"
"C16612","C457","1","0","311"
"C10397","C625","1","0","312"
"C13446","C612","1","0","313"
"C1813","C2162","3","0","314 1466 6139"
"C854","C1065","1","0","315"
"C11987","C612","1","0","316"
"C14757","C625","1","0","317"
"C19638","C612","1","0","318"
"C6292","C612","1","0","319"
"C1115","C528","2","0","320 2862"
"C15414","C467","1","0","321"
"C22090","C586","1","1","323"
"C3380","C457","1","0","324"
"C7073","C612","1","0","325"
"C22174","C1065","1","0","326"
"C405","C457","1","0","327"
"C16516","C801","6","0","328 1117 1286 1911 5700 8794"
"C8517","C612","1","0","329"
"C51","C529","1","0","330"
"C19518","C586","1","0","331"
"C105","C523","6","0","332 1177 3443 3449 4742 5950"
"C9627","C2106","1","0","333"
"C6336","C457","1","0","334"
"C16228","C529","1","0","335"
"C20954","C528","1","0","336"
"C970","C586","3","0","337 1166 8700"
"C4706","C625","1","0","338"
"C11425","C625","1","0","339"
"C6091","C625","1","0","340"
"C6677","C457","1","0","342"
"C19292","C612","1","0","343"
"C10728","C467","2","0","344 5532"
"C6922","C529","1","0","345"
"C477","C625","9","0","346 2912 3990 4654 5149 5937 6677 7165 8117"
"C15786","C586","1","0","347"
"C4541","C625","2","0","348 838"
"C197","C625","1","0","349"
"C251","C528","1","0","350"
"C1307","C528","2","0","351 6729"
"C5997","C457","1","0","352"
"C6590","C3173","4","0","353 2045 2981 6995"
"C115","C625","1","0","354"
"C13933","C2106","1","0","355"
"C7495","C586","1","0","356"
"C16833","C625","1","0","357"
"C16526","C586","1","0","358"
"C18043","C1065","1","0","359"
"C3707","C612","1","0","360"
"C2895","C467","1","0","361"
"C15987","C586","1","0","362"
"C15696","C529","1","0","363"
"C1798","C2106","2","0","364 1143"
"C1569","C457","1","0","365"
"C1002","C528","1","0","366"
"C8926","C2162","3","0","367 1753 7007"
"C10779","C1065","2","0","368 1467"
"C2097","C457","4","0","369 1507 4182 4369"
"C13060","C467","4","0","370 2210 3264 8043"
"C8522","C467","1","0","371"
"C3322","C10","8","0","372 959 1112 4349 6719 7203 8383 8493"
"C19711","C528","1","0","373"
"C1798","C586","2","0","374 8387"
"C5446","C529","1","0","375"
"C9224","C528","1","0","376"
"C10448","C457","1","0","377"
"C20218","C529","1","0","378"
"C1823","C2084","2","0","379 6410"
"C17847","C586","1","0","380"
"C5933","C586","1","0","381"
"C9747","C625","2","0","382 4207"
"C585","C586","86","0","383 578 687 963 984 1121 1299 1314 1315 1412 2115 2299 2420 2610 2639 2830 3022 3037 3054 3130 3141 3161 3201 3339 3456 3483 3631 3655 3741 3785 3903 4025 4109 4266 4368 4473 4514 4569 4632 4661 4680 5085 5147 5166 5220 5327 5342 5440 5498 5564 5568 5990 6016 6023 6115 6341 6416 6428 6586 6675 6884 6892 7023 7089 7108 7111 7152 7230 7429 7560 7582 7667 7750 8169 8190 8266 8286 8292 8297 8337 8498 8640 8657 8737 8779 8933"
"C9549","C586","2","0","384 7792"
"C20151","C2106","1","0","385"
"C13502","C528","1","0","386"
"C11629","C1065","1","0","387"
"C1717","C2162","4","0","388 519 1398 1907"
"C10056","C2106","1","0","389"
"C1312","C1065","1","0","390"
"C8060","C528","1","0","392"
"C18550","C1065","1","0","393"
"C18339","C625","1","0","394"
"C6701","C1065","1","0","395"
"C2714","C457","1","0","396"
"C10728","C625","1","0","397"
"C15434","C529","1","0","398"
"C2496","C586","2","0","399 4486"
"C13990","C612","1","0","400"
"C14903","C586","1","0","401"
"C12259","C1065","1","0","402"
"C28","C586","2","0","403 1330"
"C15293","C586","1","0","404"
"C9972","C3034","1","0","405"
"C6951","C1065","1","0","406"
"C833","C457","1","0","407"
"C743","C586","67","0","408 501 934 1065 1306 1593 1745 1800 1856 2023 2095 2137 2162 2204 2338 2438 2559 2583 2641 3076 3186 3221 3574 3580 3737 3848 3894 4003 4409 4895 4984 5088 5117 5284 5478 5559 5920 6054 6272 6360 6547 6565 6576 6599 6610 6702 6745 6748 6831 6954 7013 7069 7109 7140 7464 7610 7681 8237 8249 8293 8411 8646 8875 8891 8986 8997 9046"
"C13441","C612","1","0","409"
"C4009","C625","1","0","410"
"C8431","C2106","1","0","411"
"C2957","C612","1","0","412"
"C16230","C586","1","0","413"
"C1888","C625","1","0","414"
"C1795","C988","8","0","415 1337 1621 1627 3040 5633 8773 9062"
"C1798","C1256","1","0","416"
"C19172","C467","1","0","417"
"C12933","C1065","1","0","418"
"C8508","C467","1","0","419"
"C404","C625","1","0","420"
"C18401","C1065","1","0","422"
"C20398","C467","1","0","423"
"C174","C2106","1","0","424"
"C12665","C529","1","0","426"
"C3229","C457","3","0","427 738 5061"
"C875","C2106","1","0","428"
"C2670","C586","1","0","429"
"C17835","C586","1","0","430"
"C209","C612","1","0","431"
"C19012","C529","1","0","433"
"C6699","C586","1","0","434"
"C2146","C529","1","0","435"
"C5252","C2106","1","0","437"
"C101","C1065","2","0","438 6597"
"C9651","C585","2","0","439 2708"
"C17293","C529","1","0","440"
"C13685","C586","2","0","442 6211"
"C480","C2106","9","0","443 2669 3314 4481 5033 5068 5094 7288 7332"
"C13481","C586","1","0","444"
"C12286","C586","1","0","445"
"C15491","C585","1","0","446"
"C3399","C457","2","0","447 3291"
"C13896","C801","1","0","448"
"C5408","C585","1","0","449"
"C1884","C1065","2","0","450 8576"
"C1623","C2162","3","0","451 753 3714"
"C17532","C1065","1","0","452"
"C4129","C467","1","0","453"
"C22251","C467","1","0","454"
"C15072","C457","1","0","455"
"C1968","C586","2","0","456 5479"
"C539","C1085","14","0","457 996 2150 3288 4299 4392 5188 5226 6150 6321 6529 6922 7530 7856"
"C101","C529","2","0","458 7122"
"C19487","C528","2","0","459 7903"
"C17182","C612","1","0","460"
"C19348","C529","1","0","461"
"C18994","C585","2","0","462 4816"
"C10912","C625","1","0","463"
"C1190","C529","1","0","465"
"C3381","C612","1","0","466"
"C641","C2106","1","0","467"
"C21036","C467","1","0","468"
"C7407","C586","1","0","469"
"C2274","C625","4","0","470 613 5455 8942"
"C1415","C586","1","0","471"
"C9093","C3173","4","0","472 678 5193 7254"
"C9804","C1065","1","0","473"
"C1269","C586","1","0","474"
"C20864","C467","1","0","475"
"C148","C528","1","0","477"
"C2232","C467","2","0","478 9037"
"C21183","C625","1","0","479"
"C10165","C625","1","0","480"
"C14147","C612","1","0","481"
"C653","C586","1","0","482"
"C11562","C625","1","0","483"
"C17831","C586","2","0","484 7067"
"C6797","C625","1","0","485"
"C19103","C612","1","0","486"
"C1299","C625","1","0","487"
"C3547","C467","1","0","488"
"C7002","C612","1","0","489"
"C10378","C457","1","0","490"
"C5446","C2106","1","0","491"
"C19211","C2106","1","0","492"
"C21491","C2106","1","0","493"
"C18","C2162","4","0","495 1867 2315 7562"
"C9681","C529","1","0","496"
"C16336","C586","1","0","497"
"C2634","C586","1","0","498"
"C766","C528","1","0","499"
"C1183","C606","1","0","500"
"C5959","C612","1","0","502"
"C573","C2106","1","0","504"
"C4061","C585","1","0","505"
"C19701","C625","1","0","506"
"C4573","C528","1","0","507"
"C6320","C1065","1","0","508"
"C8458","C467","1","0","509"
"C13696","C586","1","0","510"
"C14256","C612","1","0","511"
"C2521","C3758","1","0","512"
"C20914","C612","1","0","513"
"C1472","C2438","1","0","514"
"C9545","C3173","3","0","516 3163 6770"
"C22204","C1065","1","0","517"
"C10434","C4784","1","0","518"
"C19801","C586","1","0","520"
"C3623","C528","1","0","521"
"C8779","C612","1","0","522"
"C21423","C528","1","0","523"
"C8625","C1065","1","0","524"
"C2367","C467","5","0","525 2109 4640 6620 8501"
"C1709","C1065","2","0","526 5767"
"C11149","C467","1","0","527"
"C1480","C586","2","0","528 4665"
"C19310","C612","1","0","529"
"C11360","C625","1","0","530"
"C16937","C528","1","0","532"
"C1362","C457","1","0","533"
"C443","C586","1","0","534"
"C16650","C467","1","0","535"
"C1086","C1065","1","0","536"
"C9349","C528","1","0","537"
"C282","C586","1","0","538"
"C1115","C553","6","0","539 740 2715 4938 5796 8148"
"C4854","C528","1","0","541"
"C1508","C467","1","0","542"
"C9707","C467","1","0","543"
"C477","C528","25","0","544 1693 1706 1923 1967 2671 3260 3586 4191 4445 4476 4681 4861 4911 5126 5140 5426 6006 6218 6484 7129 7261 7472 7781 7847"
"C3140","C612","2","0","545 6566"
"C10886","C612","1","0","546"
"C21598","C529","1","0","547"
"C12866","C612","1","0","548"
"C309","C528","1","0","549"
"C370","C529","1","0","550"
"C1346","C586","1","0","551"
"C19460","C754","1","0","553"
"C810","C586","2","0","554 3826"
"C1212","C612","2","0","555 8417"
"C16596","C625","1","0","556"
"C82","C467","1","0","557"
"C258","C1065","2","0","558 5291"
"C143","C586","2","0","559 1462"
"C7824","C3173","1","0","560"
"C11751","C586","1","0","561"
"C10129","C625","1","0","562"
"C1997","C625","8","0","563 730 2400 2467 2498 3865 3931 7514"
"C9256","C586","2","0","564 5685"
"C15180","C1065","1","0","565"
"C1018","C586","2","0","566 3340"
"C19867","C1065","2","0","567 1845"
"C2293","C467","1","0","568"
"C1115","C1085","13","0","569 948 1257 1334 1584 1684 1825 3038 5276 5678 6676 8753 8894"
"C1859","C586","2","0","570 2906"
"C965","C528","11","0","571 885 1447 1733 1932 3215 3362 3630 6778 7642 8520"
"C3484","C467","1","0","572"
"C3374","C586","1","0","573"
"C11074","C3173","3","0","574 5128 5978"
"C395","C231","2","0","575 1414"
"C8986","C2162","9","0","576 2953 5229 5649 5650 5772 6497 7567 8009"
"C7541","C457","1","0","577"
"C2026","C467","7","0","579 1809 2458 3168 4397 5331 6265"
"C19562","C586","1","0","580"
"C3718","C625","1","0","581"
"C2640","C528","2","0","582 4765"
"C2093","C457","2","0","583 6711"
"C1619","C553","11","0","584 1206 1547 1913 3298 3870 4286 4866 4972 7285 7640"
"C7495","C2162","2","0","585 5523"
"C20686","C612","1","0","586"
"C2462","C586","1","0","587"
"C3148","C10","1","0","588"
"C9758","C467","1","0","589"
"C10642","C457","1","0","590"
"C381","C2162","1","0","591"
"C101","C988","2","0","592 6720"
"C11783","C801","1","0","593"
"C1050","C586","1","0","594"
"C1540","C457","1","0","595"
"C1207","C2106","1","0","596"
"C118","C625","1","0","597"
"C8198","C467","1","0","598"
"C1980","C685","2","0","599 7345"
"C1406","C529","1","0","600"
"C14775","C529","1","0","601"
"C3320","C467","1","0","602"
"C11416","C625","1","0","603"
"C523","C612","1","0","604"
"C4662","C529","1","0","605"
"C7388","C457","1","0","606"
"C70","C1065","2","0","607 1027"
"C14413","C625","1","0","608"
"C2984","C1065","1","0","609"
"C1487","C625","1","0","610"
"C101","C612","2","0","611 5776"
"C7893","C586","2","0","612 2767"
"C10208","C586","3","0","614 3805 7982"
"C17206","C2106","1","0","615"
"C1798","C19614","1","0","616"
"C6077","C801","1","0","617"
"C7865","C1065","1","0","618"
"C10784","C528","1","0","619"
"C1299","C529","2","0","621 5227"
"C506","C1065","2","0","623 9002"
"C6349","C467","1","0","624"
"C15848","C528","1","0","625"
"C1521","C3674","1","0","627"
"C2422","C586","1","0","628"
"C8080","C625","1","0","629"
"C2738","C1065","1","0","630"
"C1795","C529","1","0","631"
"C3568","C1065","1","0","632"
"C16835","C612","1","0","633"
"C13471","C1065","1","0","634"
"C7006","C5618","5","0","635 642 2890 4171 8600"
"C9804","C3173","1","0","636"
"C1070","C625","1","0","637"
"C7523","C467","1","0","638"
"C965","C612","21","0","639 669 1884 3045 3112 3375 4355 6050 6427 6836 7463 7489 7543 7957 7968 8006 8089 8271 8569 8706 8863"
"C4253","C1065","1","0","640"
"C14458","C467","1","0","641"
"C523","C529","2","0","643 8174"
"C11051","C457","1","0","644"
"C2039","C457","1","0","645"
"C1115","C988","7","0","646 1830 2921 4010 4437 8223 8696"
"C469","C457","2","0","647 6095"
"C10704","C585","1","0","649"
"C8371","C457","1","0","650"
"C2307","C586","2","0","651 734"
"C14794","C1065","1","0","652"
"C5274","C612","1","0","654"
"C10470","C1015","1","0","655"
"C8341","C612","1","0","656"
"C1619","C1065","1","0","657"
"C4053","C457","1","0","658"
"C1868","C1056","4","0","659 5336 7766 8458"
"C524","C586","1","0","660"
"C3503","C467","1","0","661"
"C6161","C1015","1","0","662"
"C7880","C528","1","0","663"
"C9635","C3173","1","0","664"
"C527","C553","3","0","665 2820 3887"
"C1798","C371","1","0","666"
"C274","C1065","1","0","667"
"C22203","C2519","1","0","668"
"C527","C988","11","0","670 933 3803 4776 4809 5040 5825 7197 8291 8442 8593"
"C1618","C523","10","0","671 842 2213 2957 4183 6058 6691 6853 7476 8738"
"C1326","C457","1","0","672"
"C6431","C467","1","0","673"
"C910","C612","3","0","675 1253 1521"
"C7354","C743","1","0","676"
"C12668","C586","1","0","677"
"C480","C528","8","0","679 1022 1961 2552 4585 5821 8119 8342"
"C1450","C5618","11","0","680 926 1691 2132 2826 3263 3474 4806 5264 6035 8988"
"C9715","C528","1","0","681"
"C10743","C529","1","0","682"
"C9416","C528","2","0","683 3079"
"C7503","C529","1","0","684"
"C12949","C2106","1","0","685"
"C358","C625","1","0","686"
"C18982","C1065","1","0","689"
"C16619","C586","1","0","690"
"C9418","C457","1","0","691"
"C8069","C801","2","0","692 8217"
"C11114","C1015","4","0","693 1839 5059 7024"
"C12778","C2106","1","0","694"
"C10776","C2106","1","0","695"
"C2576","C586","2","0","696 2895"
"C5782","C5894","1","0","697"
"C15624","C15642","1","0","698"
"C563","C2106","1","0","699"
"C141","C1065","1","0","701"
"C7898","C586","2","0","702 9060"
"C8446","C457","2","0","703 3135"
"C7718","C612","2","0","704 7427"
"C1798","C1458","1","0","705"
"C17475","C1065","1","0","706"
"C12535","C612","1","0","707"
"C15045","C457","1","0","708"
"C812","C586","2","0","709 8034"
"C6151","C3173","4","0","710 896 1473 4443"
"C829","C586","1","0","711"
"C19040","C2162","1","0","712"
"C13927","C467","1","0","713"
"C19458","C467","1","0","714"
"C12796","C586","2","0","715 7359"
"C12222","C5618","1","0","716"
"C585","C467","2","0","717 2284"
"C9935","C586","1","0","718"
"C19129","C612","1","0","720"
"C372","C467","1","0","721"
"C6652","C2162","8","0","722 3017 3680 6627 6764 7134 8368 8929"
"C11661","C3173","1","0","723"
"C506","C528","16","0","724 1579 2617 3160 4856 5359 5967 5997 6048 6491 7005 7983 8308 8489 8620 8751"
"C2524","C612","2","0","725 1379"
"C14905","C612","2","0","726 1260"
"C19029","C2106","1","0","727"
"C14474","C612","1","0","728"
"C12482","C1065","1","0","731"
"C2093","C467","1","0","732"
"C4517","C625","1","0","735"
"C6022","C625","2","0","736 7780"
"C403","C1065","1","0","737"
"C14192","C529","1","0","739"
"C7020","C586","2","0","741 7825"
"C16814","C3173","9","0","742 1142 1449 1940 2894 2966 3274 7647 8481"
"C21813","C586","1","0","743"
"C4010","C457","1","0","744"
"C18984","C743","2","0","745 6330"
"C11105","C2162","1","0","746"
"C1619","C101","3","0","747 1853 2620"
"C11646","C586","2","0","748 4638"
"C2676","C467","1","0","749"
"C570","C585","1","0","750"
"C4369","C625","2","0","751 2595"
"C12500","C529","1","0","752"
"C17875","C1065","1","0","754"
"C136","C529","2","0","756 6552"
"C18694","C625","1","0","757"
"C13340","C457","1","0","758"
"C19343","C1065","1","0","760"
"C426","C1065","1","0","761"
"C661","C529","1","0","762"
"C1183","C625","3","0","764 4642 8397"
"C13256","C457","1","0","765"
"C3028","C457","2","0","766 6290"
"C1704","C2162","4","0","767 2044 2320 8907"
"C2624","C457","1","0","768"
"C1130","C612","1","0","769"
"C718","C457","1","0","770"
"C15356","C586","1","0","771"
"C10345","C2106","2","0","772 3252"
"C18637","C457","1","0","773"
"C7683","C625","2","0","774 4027"
"C20646","C625","1","0","775"
"C11182","C529","1","0","776"
"C3495","C586","1","0","777"
"C10134","C457","1","0","778"
"C10208","C1826","9","0","779 793 3075 3335 4844 5335 6986 7848 8207"
"C2257","C467","1","0","780"
"C2312","C1065","3","0","782 3970 8228"
"C1272","C528","1","0","783"
"C8113","C612","6","0","784 3057 3569 4270 4721 8732"
"C6312","C457","1","0","785"
"C11794","C467","2","0","787 1290"
"C903","C586","2","0","788 1803"
"C1291","C467","1","0","789"
"C13328","C585","1","0","790"
"C3635","C625","1","0","791"
"C12004","C743","1","0","792"
"C2861","C586","2","0","794 4583"
"C14328","C2106","1","0","795"
"C520","C529","1","0","796"
"C3199","C586","2","0","797 4653"
"C12402","C3443","10","0","798 2364 4491 5735 5789 5935 7516 7566 8372 8811"
"C19204","C528","1","0","799"
