"src","total_con","num_of_des","total_failed","des_list","id_list","con_per_des","success_to_fail_ratio"
"C527",38,11,0,"C528 C553 C988 C457 C1085 C523 C625 C586 C101 C612 C529","90 1359 6961 665 2820 3887 670 933 3803 4776 4809 5040 5825 7197 8291 8442 8593 1229 1240 2985 6423 1590 1608 2105 5153 5625 7343 8842 9044 2203 2701 4136 5070 7330 5360 5942 8887 9004",0.289473684210526,0
"C105",43,10,0,"C586 C523 C457 C553 C101 C988 C529 C625 C467 C612","63 4804 332 1177 3443 3449 4742 5950 848 1331 2893 1327 3663 5743 6019 1487 1703 6712 6840 6987 7765 8178 2084 3065 4317 4645 5247 5279 5461 5596 5636 6191 7056 8072 8195 8358 8741 2102 4372 3018 4333 5715 8923",0.232558139534884,0
"C1823",16,10,0,"C2084 C1952 C72 C832 C779 C2890 C467 C1028 C1940 C245","379 6410 1555 4527 7635 2478 4891 3058 6641 7003 6820 7287 7944 8344 8580 8904",0.625,0
"C1085",14,10,0,"C528 C612 C1065 C529 C988 C467 C523 C457 C586 C553","1031 1661 3077 1133 1200 2306 1215 2613 3014 4104 3979 7267 7400 9050",0.714285714285714,0
"C1709",27,9,0,"C1085 C625 C1065 C529 C528 C612 C457 C586 C2106","61 531 858 1110 1958 2163 2774 5387 8771 9054 147 160 3171 6970 526 5767 937 7337 2982 5831 6939 3851 6257 4186 8329 5081 5566",0.333333333333333,0
"C2093",14,9,0,"C457 C467 C529 C1065 C612 C586 C528 C988 C1085","583 6711 732 917 2668 4530 1949 8104 3793 4544 5391 5542 6165 8004",0.642857142857143,0
"C988",16,8,0,"C1737 C528 C612 C1065 C586 C2106 C467 C625","7 1007 4923 8946 2707 4427 3006 5648 3257 3682 4926 5018 6545 4354 4591 4599",0.5,0
"C477",49,7,0,"C2106 C625 C528 C1065 C529 C612 C457","213 2630 5300 346 2912 3990 4654 5149 5937 6677 7165 8117 544 1693 1706 1923 1967 2671 3260 3586 4191 4445 4476 4681 4861 4911 5126 5140 5426 6006 6218 6484 7129 7261 7472 7781 7847 1669 6181 7517 1779 2913 5754 6543 7205 7421 3000 5097 4862",0.142857142857143,0
"C506",36,7,0,"C586 C1065 C528 C612 C467 C529 C2106","69 2272 7867 623 9002 724 1579 2617 3160 4856 5359 5967 5997 6048 6491 7005 7983 8308 8489 8620 8751 1276 2401 2548 3526 4783 4877 7258 1788 1844 5419 6974 8331 8506 4593 5611",0.194444444444444,0
"C553",20,7,0,"C523 C467 C528 C625 C2106 C1065 C612","927 2464 2887 4301 5442 5984 6682 7077 8927 1122 1832 1871 1876 8168 3120 4422 6130 6504 7956 7485",0.35,0
"C101",17,7,0,"C1065 C529 C988 C612 C528 C467 C625","438 6597 458 7122 592 6720 611 5776 1498 2803 6183 8051 4515 4733 5321 7292 7457",0.411764705882353,0
"C523",12,7,0,"C612 C529 C467 C1065 C528 C457 C625","604 643 8174 1108 4855 5204 1519 2778 2522 2844 5586 3428",0.583333333333333,0
"C1932",12,7,0,"C1737 C586 C528 C612 C529 C1065 C467","1606 8163 1771 1888 6580 2462 4142 6704 5225 7135 8341 6009",0.583333333333333,0
"C585",92,6,0,"C586 C467 C2106 C612 C625 C457","383 578 687 963 984 1121 1299 1314 1315 1412 2115 2299 2420 2610 2639 2830 3022 3037 3054 3130 3141 3161 3201 3339 3456 3483 3631 3655 3741 3785 3903 4025 4109 4266 4368 4473 4514 4569 4632 4661 4680 5085 5147 5166 5220 5327 5342 5440 5498 5564 5568 5990 6016 6023 6115 6341 6416 6428 6586 6675 6884 6892 7023 7089 7108 7111 7152 7230 7429 7560 7582 7667 7750 8169 8190 8266 8286 8292 8297 8337 8498 8640 8657 8737 8779 8933 717 2284 3097 4201 4587 5175",0.0652173913043478,0
"C1183",11,6,0,"C92 C612 C606 C625 C449 C529","163 441 262 2262 500 764 4642 8397 1192 2879 5823",0.545454545454545,0
"C742",9,6,0,"C457 C612 C3758 C467 C529 C3443","831 987 3403 3746 3800 6956 8259 7739 8395",0.666666666666667,0
"C13502",8,6,0,"C529 C528 C586 C625 C467 C457","245 7921 386 2326 3968 4190 8088 8937",0.75,0
"C849",18,5,0,"C528 C506 C529 C586 C2106","76 540 1564 1786 2651 4022 4684 4810 4902 5520 7876 8723 1672 4298 6340 3225 5844 8684",0.277777777777778,0
"C62",11,5,0,"C17725 C464 C568 C657 C36","190 1491 1516 4506 5503 6295 7187 8438 3670 4643 8320",0.454545454545455,0
"C2039",8,5,0,"C457 C1065 C467 C3758 C625","645 1216 1746 4921 6138 2371 6187 8235",0.625,0
"C246",8,5,0,"C457 C528 C2106 C467 C612","2523 2850 7942 3748 5063 5311 6151 6385",0.625,0
"C395",7,5,0,"C231 C1065 C612 C625 C467","575 1414 2302 2422 3603 4584 7274",0.714285714285714,0
"C1382",6,5,0,"C528 C457 C586 C1065 C2106","1054 1312 4269 3649 4304 8462",0.833333333333333,0
"C10964",5,5,0,"C467 C625 C10 C585 C529","956 4545 6014 7432 8556",1,0
"C1993",5,5,0,"C467 C457 C612 C528 C529","992 3268 5014 5425 8110",1,0
"C965",43,4,0,"C467 C528 C612 C625","216 763 2445 2590 2779 2998 5255 6893 7396 8502 571 885 1447 1733 1932 3215 3362 3630 6778 7642 8520 639 669 1884 3045 3112 3375 4355 6050 6427 6836 7463 7489 7543 7957 7968 8006 8089 8271 8569 8706 8863 2270",0.0930232558139535,0
"C452",17,4,0,"C528 C612 C457 C477","154 322 674 1982 2407 2704 2917 3906 4417 4578 6405 7299 8359 285 2385 6010 5482",0.235294117647059,0
"C11248",14,4,0,"C743 C586 C5618 C528","888 1217 1086 8932 1281 1955 2130 2831 3697 3905 4196 5281 8012 1478",0.285714285714286,0
"C182",9,4,0,"C457 C801 C586 C612","2388 2399 5582 5818 5964 7720 7910 6891 7302",0.444444444444444,0
"C10779",8,4,0,"C1065 C3173 C586 C612","368 1467 1549 1554 1990 4451 5385 8156",0.5,0
"C7006",8,4,0,"C5618 C586 C1065 C467","635 642 2890 4171 8600 5400 5780 5932",0.5,0
"C17063",6,4,0,"C457 C612 C529 C1065","91 2556 5641 6758 7772 8484",0.666666666666667,0
"C20781",6,4,0,"C625 C585 C743 C586","243 1003 2911 8394 3722 6810",0.666666666666667,0
"C150",6,4,0,"C612 C3173 C457 C586","2032 2427 3598 4001 4801 7900",0.666666666666667,0
"C20954",5,4,0,"C528 C1065 C612 C457","336 6633 6963 7347 8333",0.8,0
"C8431",5,4,0,"C2106 C612 C1065 C529","411 6169 6363 6469 7803",0.8,0
"C1299",5,4,0,"C625 C529 C586 C2106","487 621 5227 3801 7638",0.8,0
"C1922",5,4,0,"C467 C2106 C529 C625","1159 1881 5399 8511 7116",0.8,0
"C8304",5,4,0,"C5618 C467 C457 C586","1484 1683 6313 8554 7204",0.8,0
"C17644",5,4,0,"C528 C1065 C612 C467","1486 6287 6303 6383 8214",0.8,0
"C291",5,4,0,"C457 C586 C2106 C1065","1640 8388 1763 8130 8460",0.8,0
"C12537",5,4,0,"C528 C529 C612 C625","2853 4138 5948 6331 7090",0.8,0
"C13637",5,4,0,"C529 C1065 C586 C457","2872 5412 5021 5262 8436",0.8,0
"C9833",5,4,0,"C585 C2651 C586 C467","2900 4375 5531 7523 7577",0.8,0
"C7662",5,4,0,"C528 C1065 C467 C625","2907 4429 5313 5450 5945",0.8,0
"C19154",5,4,0,"C586 C529 C528 C457","3626 5159 4881 5656 5711",0.8,0
"C1235",5,4,0,"C5297 C1065 C586 C457","5377 5605 7256 6737 7211",0.8,0
"C13740",4,4,0,"C529 C528 C5618 C612","52 5198 7897 8407",1,0
"C1037",4,4,0,"C1065 C529 C528 C2106","79 2395 3049 7255",1,0
"C16833",4,4,0,"C529 C625 C612 C457","86 357 7823 7911",1,0
"C18759",4,4,0,"C1065 C585 C467 C612","305 3976 4904 8181",1,0
"C20398",4,4,0,"C467 C457 C586 C625","423 1868 4438 4851",1,0
"C9715",4,4,0,"C528 C2106 C625 C1065","681 2333 5538 7066",1,0
"C9418",4,4,0,"C457 C1065 C586 C528","691 3594 4359 8116",1,0
"C17875",4,4,0,"C1065 C528 C625 C2855","754 1321 5347 8888",1,0
"C11564",4,4,0,"C586 C457 C625 C529","919 2094 2593 4916",1,0
"C12116",4,4,0,"C612 C586 C457 C529","952 2078 4466 7774",1,0
"C11686",4,4,0,"C1065 C612 C3034 C586","1223 2093 6514 8618",1,0
"C2379",4,4,0,"C529 C2106 C586 C625","1282 4325 6612 6887",1,0
"C19805",4,4,0,"C612 C528 C625 C467","1658 4272 6793 7601",1,0
"C486",4,4,0,"C528 C467 C586 C457","1914 6538 7578 8857",1,0
"C19398",4,4,0,"C528 C625 C20856 C1065","1931 2389 2948 8991",1,0
"C5022",4,4,0,"C528 C457 C2106 C529","2294 6936 8330 8500",1,0
"C2892",4,4,0,"C529 C1065 C1881 C586","2319 5008 5790 8374",1,0
"C7277",4,4,0,"C612 C457 C2106 C529","2426 3500 6326 7036",1,0
"C803",4,4,0,"C585 C625 C529 C7298","2524 4477 6223 7335",1,0
"C11350",4,4,0,"C612 C528 C1065 C625","3653 4641 6152 8426",1,0
"C15438",4,4,0,"C467 C528 C529 C1065","4042 5285 5481 5779",1,0
"C15331",4,4,0,"C2918 C457 C1628 C586","4621 5015 5190 7406",1,0
"C19959",4,4,0,"C457 C612 C528 C467","5785 7649 7830 8918",1,0
"C480",39,3,0,"C467 C2106 C528","20 700 801 2051 2736 2786 2983 3207 3259 3322 3960 4020 5195 6505 6776 6957 6990 7105 7850 8332 8792 8922 443 2669 3314 4481 5033 5068 5094 7288 7332 679 1022 1961 2552 4585 5821 8119 8342",0.0769230769230769,0
"C11309",24,3,0,"C10 C3173 C586","861 1532 1774 2681 3660 3767 4542 5961 6809 7461 8306 8487 8683 8970 883 1404 1833 2077 2709 6141 7369 7466 8615 5744",0.125,0
"C12402",23,3,0,"C5618 C3443 C625","146 648 1748 1815 2219 2713 2805 3866 5915 6886 7828 798 2364 4491 5735 5789 5935 7516 7566 8372 8811 1553 2738",0.130434782608696,0
"C19092",21,3,0,"C457 C467 C1065","57 2481 3993 4469 5595 6511 6824 7542 7967 8028 8601 87 1686 2292 2909 6554 3042 3614 5933 7079 8290",0.142857142857143,0
"C10208",18,3,0,"C492 C586 C1826","169 1005 3315 3542 5486 7182 614 3805 7982 779 793 3075 3335 4844 5335 6986 7848 8207",0.166666666666667,0
"C19632",17,3,0,"C2162 C612 C528","889 995 1195 2543 3246 3461 4125 4403 4483 5373 6027 7614 8689 8693 8778 5143 6384",0.176470588235294,0
"C18529",16,3,0,"C1015 C529 C586","199 494 1119 1531 2001 2497 2952 4147 4788 5141 5408 5602 8221 8641 1307 5989",0.1875,0
"C1649",12,3,0,"C1691 C2162 C529","153 1500 3214 3450 7379 4781 5576 6516 7824 7946 7979 8604",0.25,0
"C1712",12,3,0,"C2162 C1065 C457","2790 2799 3204 3628 4243 5861 6351 7611 7669 8410 3932 7189",0.25,0
"C1065",11,3,0,"C586 C625 C529","131 1476 2268 2303 3410 6267 7904 8421 1638 4893 3473",0.272727272727273,0
"C11817",10,3,0,"C801 C586 C528","15 72 194 1269 4126 4879 5395 8179 206 7450",0.3,0
"C20197",9,3,0,"C3173 C743 C528","1985 2655 2883 4517 7785 7906 3873 8302 5275",0.333333333333333,0
"C946",9,3,0,"C1691 C2162 C586","2753 3430 4723 6865 2868 3106 5138 6903 7584",0.333333333333333,0
"C16516",8,3,0,"C801 C625 C1065","328 1117 1286 1911 5700 8794 1025 7239",0.375,0
"C18",8,3,0,"C2162 C1691 C457","495 1867 2315 7562 3139 7598 8256 8047",0.375,0
"C561",7,3,0,"C625 C1065 C395","53 1632 3566 6699 2742 7805 8765",0.428571428571429,0
"C5927",7,3,0,"C585 C529 C528","2503 2727 2766 4101 6000 3684 7526",0.428571428571429,0
"C2475",7,3,0,"C467 C528 C1065","4364 4820 8798 4939 4948 4977 6496",0.428571428571429,0
"C11323",6,3,0,"C467 C3040 C1015","46 1342 3975 2591 5830 5853",0.5,0
"C18994",6,3,0,"C585 C625 C457","462 4816 1527 3759 4930 4942",0.5,0
"C11114",6,3,0,"C1015 C467 C612","693 1839 5059 7024 3672 9026",0.5,0
"C97",6,3,0,"C2162 C528 C1065","1369 5541 6819 5763 7980 6474",0.5,0
"C534",6,3,0,"C1065 C2162 C528","1805 5123 7252 8485 8677 7760",0.5,0
"C684",6,3,0,"C586 C612 C528","1922 3901 6066 3728 5397 6103",0.5,0
"C449",6,3,0,"C529 C528 C2106","2059 3612 3224 4227 8612 6382",0.5,0
"C1567",6,3,0,"C1065 C625 C3758","2509 3536 3254 4706 8002 8960",0.5,0
"C3342",5,3,0,"C457 C3173 C586","19 4828 5723 6070 8087",0.6,0
"C320",5,3,0,"C457 C585 C586","237 3243 6124 6718 5473",0.6,0
"C2521",5,3,0,"C3758 C586 C625","512 2007 3559 2539 5049",0.6,0
"C14825",5,3,0,"C586 C528 C529","916 8261 8318 1821 7399",0.6,0
"C1788",5,3,0,"C467 C1691 C529","2042 3081 5813 6408 5022",0.6,0
"C20151",4,3,0,"C457 C2106 C467","106 931 385 1978",0.75,0
"C1440",4,3,0,"C528 C2106 C586","149 2572 3917 6591",0.75,0
"C8766",4,3,0,"C612 C3443 C457","189 3381 5129 6088",0.75,0
"C18438",4,3,0,"C467 C457 C586","221 1682 1974 3635",0.75,0
"C21085",4,3,0,"C529 C586 C612","225 2391 2413 5815",0.75,0
"C3503",4,3,0,"C467 C457 C528","661 3478 4582 7478",0.75,0
"C8069",4,3,0,"C801 C586 C529","692 8217 2604 5353",0.75,0
"C15624",4,3,0,"C15642 C15628 C15636","698 3241 6919 8913",0.75,0
"C829",4,3,0,"C586 C457 C467","711 1879 7505 5252",0.75,0
"C4369",4,3,0,"C625 C1681 C528","751 2595 1198 3108",0.75,0
"C3510",4,3,0,"C625 C612 C529","829 1480 2972 2663",0.75,0
"C1185",4,3,0,"C1065 C529 C586","886 1941 3784 6985",0.75,0
"C7200",4,3,0,"C1691 C586 C467","925 8931 1905 2098",0.75,0
"C16171",4,3,0,"C625 C467 C586","936 3719 6589 8637",0.75,0
"C19685",4,3,0,"C457 C625 C743","964 1721 7849 3584",0.75,0
"C1965",4,3,0,"C612 C586 C2106","1033 1834 5179 3200",0.75,0
"C6836",4,3,0,"C324 C3443 C529","1178 4505 1663 8008",0.75,0
"C7804",4,3,0,"C528 C586 C625","1285 2599 2968 8748",0.75,0
"C8589",4,3,0,"C2106 C612 C586","1499 2068 5681 7633",0.75,0
"C586",4,3,0,"C612 C2106 C528","1718 1766 3781 5782",0.75,0
"C13483",4,3,0,"C586 C3173 C2106","1729 6650 1953 6911",0.75,0
"C21347",4,3,0,"C612 C2106 C586","1739 4812 5826 8391",0.75,0
"C16426",4,3,0,"C529 C586 C457","1747 2412 4722 7889",0.75,0
"C1184",4,3,0,"C586 C528 C1065","1837 2929 6592 7664",0.75,0
"C1915",4,3,0,"C625 C612 C586","1920 7869 3209 4579",0.75,0
"C15168",4,3,0,"C529 C612 C586","2193 3768 4239 6806",0.75,0
"C979",4,3,0,"C1065 C529 C467","2353 3419 4720 7802",0.75,0
"C1139",4,3,0,"C801 C3758 C1065","2594 3795 4285 8645",0.75,0
"C1019",4,3,0,"C449 C528 C1065","2686 5102 6403 8708",0.75,0
"C9670",4,3,0,"C467 C529 C612","2723 3736 6551 6740",0.75,0
"C6576",4,3,0,"C586 C1065 C467","3285 3804 3779 6364",0.75,0
"C6806",4,3,0,"C2106 C528 C586","3509 4800 5280 6207",0.75,0
"C11027",4,3,0,"C586 C1065 C2106","3551 4131 5946 7471",0.75,0
"C8441",4,3,0,"C612 C585 C457","3557 5164 4277 5674",0.75,0
"C16256",4,3,0,"C457 C529 C612","3843 7808 4611 4935",0.75,0
"C1047",4,3,0,"C612 C625 C586","4162 8743 5007 7306",0.75,0
"C16734",4,3,0,"C528 C585 C3443","4319 4907 4976 5058",0.75,0
"C1392",4,3,0,"C586 C89 C625","4407 8822 5508 6603",0.75,0
"C8232",4,3,0,"C625 C586 C2106","4524 6224 8023 6672",0.75,0
"C7997",4,3,0,"C612 C743 C467","4590 6045 7996 8562",0.75,0
"C3244",4,3,0,"C528 C612 C1065","4704 4970 8323 7447",0.75,0
"C13457",4,3,0,"C612 C586 C528","5240 6462 6687 7395",0.75,0
"C3141",4,3,0,"C612 C467 C529","5842 8379 7172 7583",0.75,0
"C5841",3,3,0,"C586 C528 C529","6 4666 7895",1,0
"C6039",3,3,0,"C529 C467 C612","51 6564 8013",1,0
"C13376",3,3,0,"C528 C529 C1065","107 3148 5529",1,0
"C2909",3,3,0,"C1065 C457 C586","133 5483 8820",1,0
"C7970",3,3,0,"C1065 C529 C467","136 1619 5489",1,0
"C5552",3,3,0,"C1065 C528 C625","139 7391 8613",1,0
"C7093",3,3,0,"C1015 C1065 C2106","144 2507 6481",1,0
"C15274",3,3,0,"C612 C1065 C586","174 2644 4431",1,0
"C18341",3,3,0,"C529 C528 C801","192 3096 4503",1,0
"C15987",3,3,0,"C586 C528 C2106","362 932 3190",1,0
"C5446",3,3,0,"C529 C2106 C457","375 491 3916",1,0
"C18339",3,3,0,"C625 C2106 C529","394 4914 5098",1,0
"C1888",3,3,0,"C625 C586 C529","414 8257 8357",1,0
"C13896",3,3,0,"C801 C625 C586","448 876 3176",1,0
"C5408",3,3,0,"C585 C467 C586","449 1959 6943",1,0
"C1269",3,3,0,"C586 C528 C612","474 4548 5459",1,0
"C14147",3,3,0,"C612 C92 C457","481 4132 7654",1,0
"C5959",3,3,0,"C612 C586 C3173","502 2484 5499",1,0
"C20914",3,3,0,"C612 C529 C625","513 1567 2973",1,0
"C10434",3,3,0,"C4784 C1065 C457","518 2308 9030",1,0
"C10886",3,3,0,"C612 C457 C586","546 2368 6843",1,0
"C15180",3,3,0,"C1065 C529 C586","565 2182 4736",1,0
"C9758",3,3,0,"C467 C1015 C586","589 3652 4352",1,0
"C1050",3,3,0,"C586 C467 C529","594 1380 6685",1,0
"C6077",3,3,0,"C801 C457 C625","617 4556 5951",1,0
"C13471",3,3,0,"C1065 C457 C586","634 5956 7918",1,0
"C6161",3,3,0,"C1015 C586 C467","662 3802 4471",1,0
"C16619",3,3,0,"C586 C625 C467","690 3072 8769",1,0
"C563",3,3,0,"C2106 C528 C529","699 2028 8367",1,0
"C19458",3,3,0,"C467 C457 C586","714 4428 4457",1,0
"C21813",3,3,0,"C586 C529 C612","743 1741 3116",1,0
"C5208",3,3,0,"C1065 C529 C2106","821 1465 8512",1,0
"C16919",3,3,0,"C625 C586 C1065","884 4910 9034",1,0
"C13515",3,3,0,"C467 C2106 C625","887 7049 7161",1,0
"C20094",3,3,0,"C586 C529 C528","914 4480 5145",1,0
"C12880",3,3,0,"C3040 C625 C529","928 2698 8594",1,0
"C3796",3,3,0,"C529 C1065 C585","957 5263 8831",1,0
"C1467",3,3,0,"C2106 C585 C625","981 2118 2659",1,0
"C1611",3,3,0,"C2106 C612 C3758","994 1111 8020",1,0
"C43",3,3,0,"C625 C586 C528","1032 4156 7407",1,0
"C2783",3,3,0,"C586 C457 C529","1066 4448 6133",1,0
"C19889",3,3,0,"C586 C612 C528","1093 2638 7237",1,0
"C19667",3,3,0,"C2106 C612 C528","1095 4614 8895",1,0
"C22067",3,3,0,"C467 C529 C528","1097 2987 7716",1,0
"C14341",3,3,0,"C1065 C2106 C586","1103 3326 6342",1,0
"C20297",3,3,0,"C612 C457 C625","1149 4362 8550",1,0
"C3478",3,3,0,"C457 C586 C529","1182 4157 6978",1,0
"C768",3,3,0,"C528 C612 C586","1185 3212 6582",1,0
"C9941",3,3,0,"C2106 C625 C612","1193 1202 7715",1,0
"C19105",3,3,0,"C2106 C1065 C529","1235 1388 6795",1,0
"C5094",3,3,0,"C529 C528 C1702","1250 2048 6982",1,0
"C12857",3,3,0,"C1065 C2162 C586","1252 4379 6575",1,0
"C12697",3,3,0,"C1015 C586 C457","1292 2430 5054",1,0
"C2724",3,3,0,"C1065 C457 C625","1293 2773 5561",1,0
"C18425",3,3,0,"C467 C3173 C586","1326 2485 2892",1,0
"C1437",3,3,0,"C528 C612 C529","1351 7926 7934",1,0
